Yahoo_Ticker,Year,Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Return
AMZN,2016,2016-12-31,AMZN US Equity,0.31,1.26,1.89,Amazon,0.10945572452950514
AMZN,2017,2017-12-31,AMZN US Equity,0.31,2.47,2.42,Amazon,0.5595636491351448
AMZN,2018,2018-12-31,AMZN US Equity,0.35,2.47,2.46,Amazon,0.2843168959316702
AMZN,2019,2019-12-31,AMZN US Equity,4.31,2.14,3.85,Amazon,0.23027749504206452
AMZN,2020,2020-12-31,AMZN US Equity,3.6,2.92,4.09,Amazon,0.7625606069163975
AMZN,2021,2021-12-31,AMZN US Equity,3.6,2.92,4.09,Amazon,0.023767773568753814
AMZN,2022,2022-12-31,AMZN US Equity,4.35,2.96,4.32,Amazon,-0.4961521476592685
AMZN,2023,2023-12-31,AMZN US Equity,4.35,2.96,4.32,Amazon,0.8088095528738839
AMZN,2024,2024-12-31,AMZN US Equity,4.24,2.99,4.36,Amazon,0.4439252064264869
AMZN,2025,2025-12-31,AMZN US Equity,4.24,2.99,4.36,Amazon,0.05209903808910643
AMZN,2026,2026-12-31,AMZN US Equity,4.24,2.99,4.36,Amazon,0.0472662163466433
AVGO,2016,2016-12-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,0.23645598742214147
AVGO,2017,2017-12-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,0.48186105237051047
AVGO,2018,2018-12-31,AVGO US Equity,0.0,1.43,2.02,Broadcom,0.036219811741863506
AVGO,2019,2019-12-31,AVGO US Equity,0.0,1.43,2.02,Broadcom,0.2905162645216033
AVGO,2020,2020-12-31,AVGO US Equity,0.0,1.43,2.09,Broadcom,0.44880033797999697
AVGO,2021,2021-12-31,AVGO US Equity,1.05,2.22,3.03,Broadcom,0.5648490059386939
AVGO,2022,2022-12-31,AVGO US Equity,4.4,2.22,4.56,Broadcom,-0.13269665844706158
AVGO,2023,2023-12-31,AVGO US Equity,4.92,2.27,4.64,Broadcom,1.0418427645292687
AVGO,2024,2024-12-31,AVGO US Equity,4.96,2.57,4.82,Broadcom,1.1049289936940752
AVGO,2025,2025-12-31,AVGO US Equity,4.96,2.57,4.82,Broadcom,0.5063297099396797
AVGO,2026,2026-12-31,AVGO US Equity,4.96,2.57,4.82,Broadcom,-0.04440911541790171
CLS,2016,2016-12-31,CLS CN Equity,2.43,1.54,2.93,Celestica,0.07434276231642745
CLS,2017,2017-12-31,CLS CN Equity,2.73,1.67,3.11,Celestica,-0.11561188144565115
CLS,2018,2018-12-31,CLS CN Equity,2.92,1.72,3.23,Celestica,-0.1631678586989479
CLS,2019,2019-12-31,CLS CN Equity,3.37,2.44,3.7,Celestica,-0.0570125397835497
CLS,2020,2020-12-31,CLS CN Equity,3.37,2.44,3.7,Celestica,-0.024183887771335844
CLS,2021,2021-12-31,CLS CN Equity,4.35,6.68,5.95,Celestica,0.37918222247012756
CLS,2022,2022-12-31,CLS CN Equity,4.75,6.16,5.81,Celestica,0.012578647069473758
CLS,2023,2023-12-31,CLS CN Equity,4.96,6.31,6.1,Celestica,1.5980478702177083
CLS,2024,2024-12-31,CLS CN Equity,5.58,6.22,6.12,Celestica,2.152322434673148
CLS,2025,2025-12-31,CLS CN Equity,5.58,6.22,6.12,Celestica,2.202708294449322
CLS,2026,2026-12-31,CLS CN Equity,5.58,6.22,6.12,Celestica,0.014850698102151672
GOOGL,2016,2016-12-31,GOOGL US Equity,3.96,0.71,2.76,Alphabet (Google),0.01856020826275029
GOOGL,2017,2017-12-31,GOOGL US Equity,3.1,0.74,2.48,Alphabet (Google),0.3292952407189509
GOOGL,2018,2018-12-31,GOOGL US Equity,3.29,1.64,3.08,Alphabet (Google),-0.008012136969997252
GOOGL,2019,2019-12-31,GOOGL US Equity,3.29,1.64,3.08,Alphabet (Google),0.2817617456206105
GOOGL,2020,2020-12-31,GOOGL US Equity,4.4,1.65,3.46,Alphabet (Google),0.308536271808999
GOOGL,2021,2021-12-31,GOOGL US Equity,5.2,2.49,4.2,Alphabet (Google),0.6529577977762744
GOOGL,2022,2022-12-31,GOOGL US Equity,5.2,2.51,4.24,Alphabet (Google),-0.39089559324602763
GOOGL,2023,2023-12-31,GOOGL US Equity,5.43,2.54,4.35,Alphabet (Google),0.5832482993197279
GOOGL,2024,2024-12-31,GOOGL US Equity,5.21,2.56,4.26,Alphabet (Google),0.36005613867026365
