Date,NVDA US Equity,AVGO US Equity,TSM US Equity,GOOGL US Equity,000660 KS Equity,LRCX US Equity,6857 JP Equity,TSEM IT Equity,MSFT US Equity,LITE US Equity,AMD US Equity,FN US Equity,SNOW US Equity,MU US Equity,TSLA US Equity,9984 JP Equity,CRDO US Equity,ENR GR Equity,MPWR US Equity,2383 TT Equity,CLS CN Equity,META US Equity,AMZN US Equity
2016-12-30,6.48,0.0,3.63,3.1,2.77,4.31,5.39,0.0,6.55,0.0,6.78,,,2.38,1.65,1.84,,,0.0,,2.73,3.67,0.31
2017-01-31,6.52,0.0,3.63,3.1,2.77,4.31,5.39,0.0,6.55,0.0,6.78,,,2.38,1.65,1.84,,,0.0,,2.73,3.67,0.31
2017-02-28,6.52,0.0,3.63,3.1,2.77,4.31,5.39,0.0,6.55,0.0,6.78,,,2.38,1.65,1.84,,,0.0,,2.73,3.67,0.31
2017-03-31,6.52,0.0,3.63,3.1,2.77,4.31,6.07,0.0,6.55,0.0,6.78,,,2.38,1.65,1.84,,,0.0,,2.73,3.67,0.31
2017-04-28,6.52,0.0,3.63,3.1,2.77,4.31,6.07,0.0,6.55,0.0,6.78,,,2.38,1.65,1.84,,,0.0,,2.73,3.67,0.31
2017-05-31,6.52,0.0,3.63,3.1,2.77,4.31,6.07,0.0,6.55,0.0,6.78,,,2.38,1.65,1.84,,,0.0,,2.73,3.67,0.31
2017-06-30,6.52,0.0,3.63,3.1,2.77,5.3,6.07,0.0,6.2,0.0,6.78,,,2.38,1.65,1.84,,,0.0,,2.73,3.67,0.31
2017-07-31,6.52,0.0,3.63,3.1,2.77,5.3,6.07,0.0,6.2,0.0,6.78,,,2.38,1.65,1.84,,,0.0,,2.73,3.67,0.31
2017-08-31,6.52,0.0,3.63,3.1,2.77,5.3,6.07,0.0,6.2,0.0,6.78,,,3.47,1.65,1.84,,,0.0,,2.73,3.67,0.31
2017-09-29,6.52,0.0,3.63,3.1,2.77,5.3,6.07,0.0,6.2,0.0,6.78,,,3.47,1.65,1.84,,,0.0,,2.73,3.67,0.31
2017-10-31,6.52,0.0,3.63,3.1,2.77,5.3,6.07,0.0,6.2,0.0,6.78,,,3.47,1.65,1.84,,,0.0,,2.73,3.67,0.31
2017-11-30,6.52,0.0,3.63,3.1,2.77,5.3,6.07,0.0,6.2,0.0,6.78,,,3.47,1.65,1.84,,,0.0,,2.73,3.67,0.31
2017-12-29,6.52,0.0,4.0,3.36,3.71,5.3,6.07,0.0,6.2,0.0,6.88,,,3.47,1.65,1.84,,,1.42,,2.92,5.85,0.35
2018-01-31,6.91,0.0,4.0,3.36,3.71,5.3,6.07,0.0,6.2,0.0,6.88,,,3.47,1.65,1.84,,,1.42,,2.92,5.85,0.35
2018-02-28,6.91,0.0,4.0,3.36,3.71,5.3,6.07,0.0,6.2,0.0,6.88,,,3.47,1.65,1.84,,,1.42,,2.92,5.85,0.35
2018-03-30,6.91,0.0,4.0,3.36,3.71,5.3,6.19,0.0,6.2,0.0,6.88,,,3.47,1.65,1.84,,,1.42,,2.92,5.85,0.35
2018-04-30,6.91,0.0,4.0,3.36,3.71,5.3,6.19,0.0,6.2,0.0,6.88,,,3.47,1.65,1.84,,,1.42,,2.92,5.85,0.35
2018-05-31,6.91,0.0,4.0,3.36,3.71,5.3,6.19,0.0,6.2,0.0,6.88,,,3.47,1.65,1.84,,,1.42,,2.92,5.85,0.35
2018-06-29,6.91,0.0,4.0,3.36,3.71,5.59,6.19,0.0,6.0,0.0,6.88,,,3.47,1.65,1.84,,,1.42,,2.92,5.85,0.35
2018-07-31,6.91,0.0,4.0,3.36,3.71,5.59,6.19,0.0,6.0,0.0,6.88,,,3.47,1.65,1.84,,,1.42,,2.92,5.85,0.35
2018-08-31,6.91,0.0,4.0,3.36,3.71,5.59,6.19,0.0,6.0,0.0,6.88,,,3.99,1.65,1.84,,,1.42,,2.92,5.85,0.35
2018-09-28,6.91,0.0,4.0,3.36,3.71,5.59,6.19,0.0,6.0,0.0,6.88,,,3.99,1.65,1.84,,,1.42,,2.92,5.85,0.35
2018-10-31,6.91,0.0,4.0,3.36,3.71,5.59,6.19,0.0,6.0,0.0,6.88,,,3.99,1.65,1.84,,,1.42,,2.92,5.85,0.35
2018-11-30,6.91,0.0,4.0,3.36,3.71,5.59,6.19,0.0,6.0,0.0,6.88,,,3.99,1.65,1.84,,,1.42,,2.92,5.85,0.35
2018-12-31,6.91,0.0,4.02,3.29,4.01,5.59,6.19,1.88,6.0,0.0,6.85,,,3.99,1.65,1.84,,,1.44,,2.79,5.76,4.31
2019-01-31,6.88,0.0,4.02,3.29,4.01,5.59,6.19,1.88,6.0,0.0,6.85,,,3.99,1.65,1.84,,,1.44,,2.79,5.76,4.31
2019-02-28,6.88,0.0,4.02,3.29,4.01,5.59,6.19,1.88,6.0,0.0,6.85,,,3.99,1.65,1.84,,,1.44,,2.79,5.76,4.31
2019-03-29,6.88,0.0,4.02,3.29,4.01,5.59,6.34,1.88,6.0,0.0,6.85,,,3.99,1.65,2.13,,,1.44,,2.79,5.76,4.31
2019-04-30,6.88,0.0,4.02,3.29,4.01,5.59,6.34,1.88,6.0,0.0,6.85,,,3.99,1.65,2.13,,,1.44,,2.79,5.76,4.31
2019-05-31,6.88,0.0,4.02,3.29,4.01,5.59,6.34,1.88,6.0,0.0,6.85,,,3.99,1.65,2.13,,,1.44,,2.79,5.76,4.31
2019-06-28,6.88,0.0,4.02,3.29,4.01,5.4,6.34,1.88,5.79,0.0,6.85,,,3.99,1.65,2.13,,,1.44,,2.79,5.76,4.31
2019-07-31,6.88,0.0,4.02,3.29,4.01,5.4,6.34,1.88,5.79,0.0,6.85,,,3.99,1.65,2.13,,,1.44,,2.79,5.76,4.31
2019-08-30,6.88,0.0,4.02,3.29,4.01,5.4,6.34,1.88,5.79,0.0,6.85,,,3.79,1.65,2.13,,,1.44,,2.79,5.76,4.31
2019-09-30,6.88,0.0,4.02,3.29,4.01,5.4,6.34,1.88,5.79,0.0,6.85,,,3.79,1.65,2.13,,,1.44,,2.79,5.76,4.31
2019-10-31,6.88,0.0,4.02,3.29,4.01,5.4,6.34,1.88,5.79,0.0,6.85,,,3.79,1.65,2.13,,,1.44,,2.79,5.76,4.31
2019-11-29,6.88,0.0,4.02,3.29,4.01,5.4,6.34,1.88,5.79,0.0,6.85,,,3.79,1.65,2.13,,,1.44,,2.79,5.76,4.31
2019-12-31,6.88,0.0,3.87,4.4,3.51,5.4,6.34,1.79,5.79,0.0,6.89,,,3.79,1.95,2.13,,,1.37,,3.37,5.83,3.29
2020-01-31,6.67,0.0,3.87,4.4,3.51,5.4,6.34,1.79,5.79,0.0,6.89,,,3.79,1.95,2.13,,,1.37,,3.37,5.83,3.29
2020-02-28,6.67,0.0,3.87,4.4,3.51,5.4,6.34,1.79,5.79,0.0,6.89,,,3.79,1.95,2.13,,,1.37,,3.37,5.83,3.29
2020-03-31,6.67,0.0,3.87,4.4,3.51,5.4,6.46,1.79,5.79,0.0,6.89,,,3.79,1.95,2.75,,,1.37,,3.37,5.83,3.29
2020-04-30,6.67,0.0,3.87,4.4,3.51,5.4,6.46,1.79,5.79,0.0,6.89,,,3.79,1.95,2.75,,,1.37,,3.37,5.83,3.29
2020-05-29,6.67,0.0,3.87,4.4,3.51,5.4,6.46,1.79,5.79,0.0,6.89,,,3.79,1.95,2.75,,,1.37,,3.37,5.83,3.29
2020-06-30,6.67,0.0,3.87,4.4,3.51,4.79,6.46,1.79,5.65,1.0,6.89,,,3.79,1.95,2.75,,,1.37,,3.37,5.83,3.29
2020-07-31,6.67,0.0,3.87,4.4,3.51,4.79,6.46,1.79,5.65,1.0,6.89,,,3.79,1.95,2.75,,,1.37,,3.37,5.83,3.29
