Date,NVDA US Equity,AVGO US Equity,TSM US Equity,GOOGL US Equity,000660 KS Equity,LRCX US Equity,6857 JP Equity,TSEM IT Equity,MSFT US Equity,LITE US Equity,AMD US Equity,FN US Equity,SNOW US Equity,MU US Equity,TSLA US Equity,9984 JP Equity,CRDO US Equity,ENR GR Equity,MPWR US Equity,2383 TT Equity,CLS CN Equity,META US Equity,AMZN US Equity
2017-02-28,5.77,1.89,3.93,2.48,3.12,4.42,3.74,1.88,4.09,1.71,5.78,,,3.72,3.06,2.4,,,1.88,,3.11,2.68,2.42
2017-03-31,5.77,1.89,3.93,2.48,3.12,4.42,4.75,1.88,4.09,1.71,5.78,,,3.72,3.06,2.53,,,1.88,,3.11,2.68,2.42
2017-04-28,5.77,1.89,3.93,2.48,3.12,4.42,4.75,1.88,4.09,1.71,5.78,,,3.72,3.06,2.53,,,1.88,,3.11,2.68,2.42
2017-05-31,5.77,1.89,3.93,2.48,3.12,4.42,4.75,1.88,4.09,1.71,5.78,,,3.72,3.06,2.53,,,1.88,,3.11,2.68,2.42
2017-06-30,5.77,1.89,3.93,2.48,3.12,4.81,4.75,1.88,4.15,1.71,5.78,,,3.72,3.06,2.53,,,1.88,,3.11,2.68,2.42
2017-07-31,5.77,1.89,3.93,2.48,3.12,4.81,4.75,1.88,4.15,1.81,5.78,,,3.72,3.06,2.53,,,1.88,,3.11,2.68,2.42
2017-08-31,5.77,1.89,3.93,2.48,3.12,4.81,4.75,1.88,4.15,1.81,5.78,,,4.16,3.06,2.53,,,1.88,,3.11,2.68,2.42
2017-09-29,5.77,1.89,3.93,2.48,3.12,4.81,4.75,1.88,4.15,1.81,5.78,,,4.16,3.06,2.53,,,1.88,,3.11,2.68,2.42
2017-10-31,5.77,1.67,3.93,2.48,3.12,4.81,4.75,1.88,4.15,1.81,5.78,,,4.16,3.06,2.53,,,1.88,,3.11,2.68,2.42
2017-11-30,5.77,1.67,3.93,2.48,3.12,4.81,4.75,1.88,4.15,1.81,5.78,,,4.16,3.06,2.53,,,1.88,,3.11,2.68,2.42
2017-12-29,5.77,1.67,3.87,2.69,3.68,4.81,4.75,1.85,4.15,1.81,5.96,,,4.16,3.36,2.53,,,2.62,,3.23,3.46,2.46
2018-01-31,6.51,1.67,3.87,2.69,3.68,4.81,4.75,1.85,4.15,1.81,5.96,,,4.16,3.36,2.53,,,2.62,,3.23,3.46,2.46
2018-02-28,6.51,1.67,3.87,2.69,3.68,4.81,4.75,1.85,4.15,1.81,5.96,,,4.16,3.36,2.53,,,2.62,,3.23,3.46,2.46
2018-03-30,6.51,1.67,3.87,2.69,3.68,4.81,4.84,1.85,4.15,1.81,5.96,,,4.16,3.36,2.52,,,2.62,,3.23,3.46,2.46
2018-04-30,6.51,1.67,3.87,2.69,3.68,4.81,4.84,1.85,4.15,1.81,5.96,,,4.16,3.36,2.52,,,2.62,,3.23,3.46,2.46
2018-05-31,6.51,1.67,3.87,2.69,3.68,4.81,4.84,1.85,4.15,1.81,5.96,,,4.16,3.36,2.52,,,2.62,,3.23,3.46,2.46
2018-06-29,6.51,1.67,3.87,2.69,3.68,5.4,4.84,1.85,4.11,1.89,5.96,,,4.16,3.36,2.52,,,2.62,,3.23,3.46,2.46
2018-07-31,6.51,1.67,3.87,2.69,3.68,5.4,4.84,1.85,4.11,1.89,5.96,,,4.16,3.36,2.52,,,2.62,,3.23,3.46,2.46
2018-08-31,6.51,1.67,3.87,2.69,3.68,5.4,4.84,1.85,4.11,1.89,5.96,,,4.6,3.36,2.52,,,2.62,,3.23,3.46,2.46
2018-09-28,6.51,1.67,3.87,2.69,3.68,5.4,4.84,1.85,4.11,1.89,5.96,,,4.6,3.36,2.52,,,2.62,,3.23,3.46,2.46
2018-10-31,6.51,1.67,3.87,2.69,3.68,5.4,4.84,1.85,4.11,1.89,5.96,,,4.6,3.36,2.52,,,2.62,,3.23,3.46,2.46
2018-11-30,6.51,2.02,3.87,2.69,3.68,5.4,4.84,1.85,4.11,1.89,5.96,,,4.6,3.36,2.52,,,2.62,,3.23,3.46,2.46
2018-12-31,6.51,2.02,4.19,3.08,3.55,5.4,4.84,2.86,4.11,1.89,6.23,,,4.6,3.24,2.52,,,2.76,,3.56,3.5,3.85
2019-01-31,6.46,2.02,4.19,3.08,3.55,5.4,4.84,2.86,4.11,1.89,6.23,,,4.6,3.24,2.52,,,2.76,,3.56,3.5,3.85
2019-02-28,6.46,2.02,4.19,3.08,3.55,5.4,4.84,2.86,4.11,1.89,6.23,,,4.6,3.24,2.52,,,2.76,,3.56,3.5,3.85
2019-03-29,6.46,2.02,4.19,3.08,3.55,5.4,5.04,2.86,4.11,1.89,6.23,,,4.6,3.24,2.67,,,2.76,,3.56,3.5,3.85
2019-04-30,6.46,2.02,4.19,3.08,3.55,5.4,5.04,2.86,4.11,1.89,6.23,,,4.6,3.24,2.67,,,2.76,,3.56,3.5,3.85
2019-05-31,6.46,2.02,4.19,3.08,3.55,5.4,5.04,2.86,4.11,1.89,6.23,,,4.6,3.24,2.67,,,2.76,,3.56,3.5,3.85
2019-06-28,6.46,2.02,4.19,3.08,3.55,5.96,5.04,2.86,4.02,2.13,6.23,,,4.6,3.24,2.67,,,2.76,,3.56,3.5,3.85
2019-07-31,6.46,2.02,4.19,3.08,3.55,5.96,5.04,2.86,4.02,2.13,6.23,,,4.6,3.24,2.67,,,2.76,,3.56,3.5,3.85
2019-08-30,6.46,2.02,4.19,3.08,3.55,5.96,5.04,2.86,4.02,2.13,6.23,,,5.08,3.24,2.67,,,2.76,,3.56,3.5,3.85
2019-09-30,6.46,2.02,4.19,3.08,3.55,5.96,5.04,2.86,4.02,2.13,6.23,,,5.08,3.24,2.67,,,2.76,,3.56,3.5,3.85
2019-10-31,6.46,2.02,4.19,3.08,3.55,5.96,5.04,2.86,4.02,2.13,6.23,,,5.08,3.24,2.67,,,2.76,,3.56,3.5,3.85
2019-11-29,6.46,2.09,4.19,3.08,3.55,5.96,5.04,2.86,4.02,2.13,6.23,,,5.08,3.24,2.67,,,2.76,,3.56,3.5,3.85
2019-12-31,6.46,2.09,4.52,3.46,3.94,5.96,5.04,2.89,4.02,2.13,6.69,,,5.08,3.5,2.67,,,2.71,,3.7,3.31,3.63
2020-01-31,6.78,2.09,4.52,3.46,3.94,5.96,5.04,2.89,4.02,2.13,6.69,,,5.08,3.5,2.67,,,2.71,,3.7,3.31,3.63
2020-02-28,6.78,2.09,4.52,3.46,3.94,5.96,5.04,2.89,4.02,2.13,6.69,,,5.08,3.5,2.67,,,2.71,,3.7,3.31,3.63
2020-03-31,6.78,2.09,4.52,3.46,3.94,5.96,6.01,2.89,4.02,2.13,6.69,,,5.08,3.5,2.94,,,2.71,,3.7,3.31,3.63
2020-04-30,6.78,2.09,4.52,3.46,3.94,5.96,6.01,2.89,4.02,2.13,6.69,,,5.08,3.5,2.94,,,2.71,,3.7,3.31,3.63
2020-05-29,6.78,2.09,4.52,3.46,3.94,5.96,6.01,2.89,4.02,2.13,6.69,,,5.08,3.5,2.94,,,2.71,,3.7,3.31,3.63
2020-06-30,6.78,2.09,4.52,3.46,3.94,5.64,6.01,2.89,4.54,3.11,6.69,,,5.08,3.5,2.94,,,2.71,,3.7,3.31,3.63
2020-07-31,6.78,2.09,4.52,3.46,3.94,5.64,6.01,2.89,4.54,3.11,6.69,,,5.08,3.5,2.94,,,2.71,,3.7,3.31,3.63
2020-08-31,6.78,2.09,4.52,3.46,3.94,5.64,6.01,2.89,4.54,3.11,6.69,,,5.08,3.5,2.94,,,2.71,,3.7,3.31,3.63
2020-09-30,6.78,2.09,4.52,3.46,3.94,5.64,6.01,2.89,4.54,3.11,6.69,,,5.64,3.5,2.94,,3.8,2.71,,3.7,3.31,3.63
2020-10-30,6.78,2.09,4.52,3.46,3.94,5.64,6.01,2.89,4.54,3.11,6.69,,,5.64,3.5,2.94,,3.8,2.71,,3.7,3.31,3.63
2020-11-30,6.78,3.03,4.52,3.46,3.94,5.64,6.01,2.89,4.54,3.11,6.69,,,5.64,3.5,2.94,,3.8,2.71,,3.7,3.31,3.63
2020-12-31,6.78,3.03,4.7,4.2,4.26,5.64,6.01,3.14,4.54,3.11,6.42,,,5.64,3.99,2.94,,3.8,3.36,,5.95,3.76,4.09
2021-01-29,7.05,3.03,4.7,4.2,4.26,5.64,6.01,3.14,4.54,3.11,6.42,,1.88,5.64,3.99,2.94,,3.8,3.36,,5.95,3.76,4.09
2021-02-26,7.05,3.03,4.7,4.2,4.26,5.64,6.01,3.14,4.54,3.11,6.42,,1.88,5.64,3.99,2.94,,3.8,3.36,,5.95,3.76,4.09
2021-03-31,7.05,3.03,4.7,4.2,4.26,5.64,6.25,3.14,4.54,3.11,6.42,,1.88,5.64,3.99,3.12,,3.8,3.36,,5.95,3.76,4.09
2021-04-30,7.05,3.03,4.7,4.2,4.26,5.64,6.25,3.14,4.54,3.11,6.42,,1.88,5.64,3.99,3.12,,3.8,3.36,,5.95,3.76,4.09
2021-05-31,7.05,3.03,4.7,4.2,4.26,5.64,6.25,3.14,4.54,3.11,6.42,,1.88,5.64,3.99,3.12,,3.8,3.36,,5.95,3.76,4.09
2021-06-30,7.05,3.03,4.7,4.2,4.26,5.68,6.25,3.14,5.47,3.11,6.42,2.28,1.88,5.64,3.99,3.12,,3.8,3.36,,5.95,3.76,4.09
2021-07-30,7.05,3.03,4.7,4.2,4.26,5.68,6.25,3.14,5.47,3.33,6.42,2.28,1.88,5.64,3.99,3.12,,3.8,3.36,,5.95,3.76,4.09
2021-08-31,7.05,3.03,4.7,4.2,4.26,5.68,6.25,3.14,5.47,3.33,6.42,2.28,1.88,5.64,3.99,3.12,,3.8,3.36,,5.95,3.76,4.09
2021-09-30,7.05,3.03,4.7,4.2,4.26,5.68,6.25,3.14,5.47,3.33,6.42,2.28,1.88,5.68,3.99,3.12,,4.24,3.36,,5.95,3.76,4.09
2021-10-29,7.05,4.56,4.7,4.2,4.26,5.68,6.25,3.14,5.47,3.33,6.42,2.28,1.88,5.68,3.99,3.12,,4.24,3.36,,5.95,3.76,4.09
2021-11-30,7.05,4.56,4.7,4.2,4.26,5.68,6.25,3.14,5.47,3.33,6.42,2.28,1.88,5.68,3.99,3.12,,4.24,3.36,,5.95,3.76,4.09
2021-12-31,7.05,4.56,4.85,4.24,4.5,5.68,6.25,2.82,5.47,3.33,6.52,2.28,1.88,5.68,5.32,3.12,,4.24,3.67,3.73,5.81,4.26,4.14
2022-01-31,6.46,4.56,4.85,4.24,4.5,5.68,6.25,2.82,5.47,3.33,6.52,2.28,1.83,5.68,5.32,3.12,,4.24,3.67,3.73,5.81,4.26,4.14
2022-02-28,6.46,4.56,4.85,4.24,4.5,5.68,6.25,2.82,5.47,3.33,6.52,2.28,1.83,5.68,5.32,3.12,,4.24,3.67,3.73,5.81,4.26,4.14
2022-03-31,6.46,4.56,4.85,4.24,4.5,5.68,6.78,2.82,5.47,3.33,6.52,2.28,1.83,5.68,5.32,3.42,,4.24,3.67,3.73,5.81,4.26,4.14
2022-04-29,6.46,4.56,4.85,4.24,4.5,5.68,6.78,2.82,5.47,3.33,6.52,2.28,1.83,5.68,5.32,3.42,1.36,4.24,3.67,3.73,5.81,4.26,4.14
2022-05-31,6.46,4.56,4.85,4.24,4.5,5.68,6.78,2.82,5.47,3.33,6.52,2.28,1.83,5.68,5.32,3.42,1.36,4.24,3.67,3.73,5.81,4.26,4.14
2022-06-30,6.46,4.56,4.85,4.24,4.5,5.25,6.78,2.82,5.87,3.33,6.52,2.58,1.83,5.68,5.32,3.42,1.36,4.24,3.67,3.73,5.81,4.26,4.14
2022-07-29,6.46,4.56,4.85,4.24,4.5,5.25,6.78,2.82,5.87,4.05,6.52,2.58,1.83,5.68,5.32,3.42,1.36,4.24,3.67,3.73,5.81,4.26,4.14
2022-08-31,6.46,4.56,4.85,4.24,4.5,5.25,6.78,2.82,5.87,4.05,6.52,2.58,1.83,5.68,5.32,3.42,1.36,4.24,3.67,3.73,5.81,4.26,4.14
2022-09-30,6.46,4.56,4.85,4.24,4.5,5.25,6.78,2.82,5.87,4.05,6.52,2.58,1.83,5.96,5.32,3.42,1.36,4.12,3.67,3.73,5.81,4.26,4.14
2022-10-31,6.46,4.64,4.85,4.24,4.5,5.25,6.78,2.82,5.87,4.05,6.52,2.58,1.83,5.96,5.32,3.42,1.36,4.12,3.67,3.73,5.81,4.26,4.14
2022-11-30,6.46,4.64,4.85,4.24,4.5,5.25,6.78,2.82,5.87,4.05,6.52,2.58,1.83,5.96,5.32,3.42,1.36,4.12,3.67,3.73,5.81,4.26,4.14
2022-12-30,6.46,4.64,4.82,4.35,5.05,5.25,6.78,3.2,5.87,4.05,6.5,2.58,1.83,5.96,5.03,3.42,1.36,4.12,4.11,4.13,6.1,4.18,4.32
2023-01-31,6.66,4.64,4.82,4.35,5.05,5.25,6.78,3.2,5.87,4.05,6.5,2.58,1.93,5.96,5.03,3.42,1.36,4.12,4.11,4.13,6.1,4.18,4.32
2023-02-28,6.66,4.64,4.82,4.35,5.05,5.25,6.78,3.2,5.87,4.05,6.5,2.58,1.93,5.96,5.03,3.42,1.36,4.12,4.11,4.13,6.1,4.18,4.32
2023-03-31,6.66,4.64,4.82,4.35,5.05,5.25,6.9,3.2,5.87,4.05,6.5,2.58,1.93,5.96,5.03,3.43,1.36,4.12,4.11,4.13,6.1,4.18,4.32
2023-04-28,6.66,4.64,4.82,4.35,5.05,5.25,6.9,3.2,5.87,4.05,6.5,2.58,1.93,5.96,5.03,3.43,2.12,4.12,4.11,4.13,6.1,4.18,4.32
2023-05-31,6.66,4.64,4.82,4.35,5.05,5.25,6.9,3.2,5.87,4.05,6.5,2.58,1.93,5.96,5.03,3.43,2.12,4.12,4.11,4.13,6.1,4.18,4.32
2023-06-30,6.66,4.64,4.82,4.35,5.05,5.08,6.9,3.2,5.12,4.05,6.5,2.51,1.93,5.96,5.03,3.43,2.12,4.12,4.11,4.13,6.1,4.18,4.32
2023-07-31,6.66,4.64,4.82,4.35,5.05,5.08,6.9,3.2,5.12,3.73,6.5,2.51,1.93,5.96,5.03,3.43,2.12,4.12,4.11,4.13,6.1,4.18,4.32
2023-08-31,6.66,4.64,4.82,4.35,5.05,5.08,6.9,3.2,5.12,3.73,6.5,2.51,1.93,5.63,5.03,3.43,2.12,4.12,4.11,4.13,6.1,4.18,4.32
