,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ESG_SCORE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Start Date,42369,,,,,,,,,,,,,,,,,,,,,,
,End Date,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,NVDA US Equity,AVGO US Equity,TSM US Equity,GOOGL US Equity,000660 KS Equity,LRCX US Equity,6857 JP Equity,TSEM IT Equity,MSFT US Equity,LITE US Equity,AMD US Equity,FN US Equity,SNOW US Equity,MU US Equity,TSLA US Equity,9984 JP Equity,CRDO US Equity,ENR GR Equity,MPWR US Equity,2383 TT Equity,CLS CN Equity,META US Equity,AMZN US Equity
,,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score
,Dates,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE
,42489,"3,49",#N/A N/A,"3,61","0,71","2,84",#N/A N/A,"1,62","1,03",#N/A N/A,#N/A N/A,"3,01",#N/A N/A,#N/A N/A,#N/A N/A,"3,17","1,7",#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,54","0,77","1,26"
,42521,"3,49",#N/A N/A,"3,61","0,71","2,84",#N/A N/A,"1,62","1,03",#N/A N/A,#N/A N/A,"3,01",#N/A N/A,#N/A N/A,#N/A N/A,"3,17","1,7",#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,54","0,77","1,26"
,42551,"3,49",#N/A N/A,"3,61","0,71","2,84","1,82","1,62","1,03","0,63",#N/A N/A,"3,01",#N/A N/A,#N/A N/A,#N/A N/A,"3,17","1,7",#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,54","0,77","1,26"
,42580,"3,49",#N/A N/A,"3,61","0,71","2,84","1,82","1,62","1,03","0,63","0,99","3,01",#N/A N/A,#N/A N/A,#N/A N/A,"3,17","1,7",#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,54","0,77","1,26"
,42613,"3,49",#N/A N/A,"3,61","0,71","2,84","1,82","1,62","1,03","0,63","0,99","3,01",#N/A N/A,#N/A N/A,#N/A N/A,"3,17","1,7",#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,54","0,77","1,26"
,42643,"3,49",#N/A N/A,"3,61","0,71","2,84","1,82","1,62","1,03","0,63","0,99","3,01",#N/A N/A,#N/A N/A,"2,53","3,17","1,7",#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,54","0,77","1,26"
,42674,"3,49","1,43","3,61","0,71","2,84","1,82","1,62","1,03","0,63","0,99","3,01",#N/A N/A,#N/A N/A,"2,53","3,17","1,7",#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,54","0,77","1,26"
,42704,"3,49","1,43","3,61","0,71","2,84","1,82","1,62","1,03","0,63","0,99","3,01",#N/A N/A,#N/A N/A,"2,53","3,17","1,7",#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,54","0,77","1,26"
,42734,"3,49","1,43","3,64","0,74","2,12","1,82","1,62","1,03","0,63","0,99","3,8",#N/A N/A,#N/A N/A,"2,53","3,11","1,7",#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,67","0,82","2,47"
,42766,"3,81","1,43","3,64","0,74","2,12","1,82","1,62","1,03","0,63","0,99","3,8",#N/A N/A,#N/A N/A,"2,53","3,11","1,7",#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,67","0,82","2,47"
,42794,"3,81","1,43","3,64","0,74","2,12","1,82","1,62","1,03","0,63","0,99","3,8",#N/A N/A,#N/A N/A,"2,53","3,11","1,7",#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,67","0,82","2,47"
,42825,"3,81","1,43","3,64","0,74","2,12","1,82","2,58","1,03","0,63","0,99","3,8",#N/A N/A,#N/A N/A,"2,53","3,11","1,91",#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,67","0,82","2,47"
