Yahoo_Ticker,Year,Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Return,Env_Var,Soc_Var,ESG_Var,Return_Var,Cluster_KMeans_Var
AMZN,2019,2019-12-31,AMZN US Equity,4.31,2.14,3.85,Amazon,0.2302774950420645,11.314285714285713,-0.1336032388663968,0.5650406504065042,-0.19006749743987417,2
GOOGL,2019,2019-12-31,GOOGL US Equity,3.29,1.64,3.08,Alphabet (Google),0.2817617456206105,0.0,0.0,0.0,-36.166865803182716,0
000660.KS,2019,2019-12-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,0.5719537240443286,-0.0539083557951483,0.36752136752136777,0.07065217391304346,-4.02770452728739,0
9984.T,2019,2019-12-31,9984 JP Equity,2.13,1.91,2.67,SoftBank,0.3113224622960979,0.15760869565217384,0.0,0.059523809523809534,-2.7568156872865197,0
LRCX,2020,2020-12-31,LRCX US Equity,4.79,4.99,5.64,Lam Research,0.6418039944511009,-0.11296296296296304,0.010121457489878471,-0.05369127516778527,-0.46217605149003926,0
9984.T,2020,2020-12-31,9984 JP Equity,2.75,1.91,2.94,SoftBank,0.7098572851617337,0.29107981220657275,0.0,0.101123595505618,1.2801351368170488,0
META,2020,2020-12-31,META US Equity,7.35,1.18,3.76,Meta Platforms,0.3308648914347212,0.27604166666666674,-0.16312056737588654,0.07428571428571429,-0.41514198534003777,0
MPWR,2020,2020-12-31,MPWR US Equity,1.37,2.37,2.71,Monolithic Power Systems,1.074907666979747,-0.04861111111111105,0.10232558139534897,-0.018115942028985477,0.9614948169437261,0
6857.T,2020,2020-12-31,6857 JP Equity,6.34,2.57,5.04,Advantest,0.2761878164154352,0.024232633279482885,-0.007722007722007707,0.04132231404958686,-0.8478657106818461,0
MU,2020,2020-12-31,MU US Equity,3.79,4.39,5.08,Micron Technology,0.3979178034868156,0.0,0.0,0.0,-0.4273950352329776,0
NVDA,2020,2020-12-31,NVDA US Equity,6.67,7.12,6.78,NVIDIA,1.2229564711864502,-0.03052325581395343,0.23611111111111116,0.049535603715170407,0.5894311823911091,0
TSEM,2020,2020-12-31,TSEM IT Equity,1.79,1.62,2.89,Tower Semiconductor,0.0731504683270325,-0.04787234042553179,0.2558139534883721,0.010489510489510634,-0.8843092358687055,0
000660.KS,2020,2020-12-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,0.2721856456052445,0.0,0.0,0.0,-0.524112468958854,0
AMZN,2020,2020-12-31,AMZN US Equity,3.6,2.92,4.09,Amazon,0.7625606069163975,-0.16473317865429227,0.36448598130841114,0.06233766233766236,2.311485591664533,0
MSFT,2020,2020-12-31,MSFT US Equity,5.65,1.73,4.54,Microsoft,0.4253405409768105,-0.024179620034542215,0.901098901098901,0.12935323383084585,-0.261024289947985,1
TSLA,2020,2020-12-31,TSLA US Equity,1.95,4.34,3.5,Tesla,7.434369946079432,0.0,0.0,0.0,27.927375702843968,0
TSM,2020,2020-12-31,TSM US Equity,3.87,4.06,4.52,TSMC,0.9266836132321604,-0.03731343283582078,0.4346289752650174,0.078758949880668,0.42914292137414756,0
CLS,2020,2020-12-31,CLS CN Equity,3.37,2.44,3.7,Celestica,-0.0241838877713358,0.0,0.0,0.0,-0.5758145863497599,0
GOOGL,2020,2020-12-31,GOOGL US Equity,4.4,1.65,3.46,Alphabet (Google),0.308536271808999,0.33738601823708225,0.0060975609756097615,0.12337662337662336,0.09502541279837229,0
AMD,2020,2020-12-31,AMD US Equity,6.89,6.01,6.69,AMD,0.9997818984714926,0.005839416058394109,0.29525862068965525,0.07383627608346699,-0.32642438311455246,0
6857.T,2021,2021-12-31,6857 JP Equity,6.78,5.12,6.25,Advantest,0.4287062664102421,0.06940063091482651,0.9922178988326851,0.24007936507936511,0.5522272921894289,1
NVDA,2021,2021-12-31,NVDA US Equity,6.55,7.91,7.05,NVIDIA,1.254821083352807,-0.01799100449775115,0.11095505617977519,0.03982300884955747,0.026055393562326445,0
CLS,2021,2021-12-31,CLS CN Equity,4.35,6.68,5.95,Celestica,0.3791822224701275,0.29080118694362,1.737704918032787,0.6081081081081081,-16.679125955900155,1
META,2021,2021-12-31,META US Equity,7.35,1.18,3.76,Meta Platforms,0.2313294594015671,0.0,0.0,0.0,-0.30083407037096344,0
AMZN,2021,2021-12-31,AMZN US Equity,3.6,2.92,4.09,Amazon,0.0237677735687538,0.0,0.0,0.0,-0.9688316268199787,0
LRCX,2021,2021-12-31,LRCX US Equity,4.79,4.99,5.64,Lam Research,0.5366267342902489,0.0,0.0,0.0,-0.1638775406045958,0
MU,2021,2021-12-31,MU US Equity,3.6,6.47,5.64,Micron Technology,0.2420810585166526,-0.05013192612137207,0.4738041002277904,0.11023622047244097,-0.3916304915352359,1
MPWR,2021,2021-12-31,MPWR US Equity,3.56,2.07,3.67,Monolithic Power Systems,0.3548803393089228,1.5985401459854014,-0.12658227848101278,0.35424354243542444,-0.6698503971917344,1
MSFT,2021,2021-12-31,MSFT US Equity,6.28,3.4,5.47,Microsoft,0.5247689830952116,0.1115044247787611,0.9653179190751444,0.2048458149779735,0.2337619684454717,1
TSM,2021,2021-12-31,TSM US Equity,3.92,4.95,4.7,TSMC,0.1209464343596822,0.012919896640826822,0.21921182266009875,0.039823008849557695,-0.8694846518998693,0
