Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Yahoo_Ticker,Return,ESG_Quartile,Cluster_KMeans,Cluster_DBSCAN,Year,Period
2024-10-31,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,0.0003756349741956,Q3,1,0,2024,post2020
2024-11-30,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,0.1152897328156477,Q3,1,0,2024,post2020
2024-12-31,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,0.0553177162622697,Q3,1,0,2024,post2020
2025-01-31,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,0.083367488659539,Q3,1,0,2025,post2020
2025-02-28,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,-0.1068663525715117,Q3,1,0,2025,post2020
2025-03-31,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,-0.1037309421475675,Q3,1,0,2025,post2020
2025-04-30,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,-0.0306948202801551,Q3,1,0,2025,post2020
2025-05-31,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,0.1116473080052216,Q3,1,0,2025,post2020
2025-06-30,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,0.0701429455544568,Q3,1,0,2025,post2020
2025-07-31,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,0.0670951331494358,Q3,1,0,2025,post2020
2025-08-31,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,-0.0218273486695536,Q3,1,0,2025,post2020
2025-09-30,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,-0.041179007317822,Q3,1,0,2025,post2020
2025-10-31,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,0.1122648498166054,Q3,1,0,2025,post2020
2025-11-30,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,-0.0450413559291534,Q3,1,0,2025,post2020
2025-12-31,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,-0.0102906864073514,Q3,1,0,2025,post2020
2026-01-31,AMZN US Equity,4.24,2.99,4.36,Amazon,AMZN,0.0472662163466433,Q3,1,0,2026,post2020
2016-01-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,-0.0788151318644956,Q1,1,5,2016,pre2020
2016-02-29,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.0019444801060493,Q1,1,5,2016,pre2020
2016-03-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.1570620120007007,Q1,1,5,2016,pre2020
2016-04-30,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,-0.0566343101974947,Q1,1,5,2016,pre2020
2016-05-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.0590737964976457,Q1,1,5,2016,pre2020
2016-06-30,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.0099135004413868,Q1,1,5,2016,pre2020
2016-07-31,AVGO US Equity,0.0,1.43,1.89,Broadcom,AVGO,0.0423422745090031,Q1,1,5,2016,pre2020
